country_code,image_file
FR,french.jpg
CN,china.jpeg
GB,uk.jpg
DE,german.jpg
US,america.jpg
NL,dutch.jpeg
CA,canada.jpg
IT,italy.jpg
LI,lichenstein.jpg
ES,spain.jpg
BR,brazil.jpg
IN,india.jpg
ID,indonesia.jpg
IL,israel.jpg
MY,malaysia.png
NG,nigeria.jpg
PT,portugal.jpg
RU,russia.jpg
ZA,south_africa.jpg
TR,turkey.jpg
AO,angola.jpg
AR,argentina.jpg
AU,australia.jpg
AT,austria.jpg
BG,bulgaria.jpg
KH,cambodia.jpg
CL,chile.jpg
CO,colombia.jpg
CZ,czech.jpg
DK,denmark.jpg
DO,dominican.jpg
FI,finland.jpg
